1-1,"The chocolate cake was incredibly delicious, leaving me craving for more."
1-2,"She received excellent feedback on her presentation, impressing her colleagues and boss."
1-3,"After a long day at work, I felt extremely sleepy and couldn''t keep my eyes open."
1-4,The Thanksgiving dinner was a feast of traditional dishes passed down through generations.
1-5,The upper deck of the ship offered breathtaking views of the ocean.
1-6,Stop bossing me around! I''m sick of it. 
1-7,He claimed to be an expert in AI. 
1-8,The success of the project will depend on the dedication and teamwork of the entire staff.
1-9,"The news of her promotion excited her, and she eagerly shared it with her friends."
1-10,He used art to express his emotions and convey powerful messages.
1-11,The teacher flagged the vocabulary that the students had to memorize. 
1-12,The entire building is guarded.
1-13,The professor took a moment to introduce herself to the class and outline the syllabus.
1-14,Don''t judge a book by its cover. 
1-15,His classmates needled him about his new haircut. 
1-16,We packed sandwiches and snacks to picnic in the park.
1-17,I tore a hole in my jeans.
1-18,We waved good-bye. 
1-19,The electrician carefully wired to restore the power supply.
1-20,The demand for renewable energy is increasingly important in addressing climate change.
1-21,"Besides studying for exams, she also volunteers at the local animal shelter."
1-22,"The aircraft took off smoothly, soaring through the sky towards its destination."
1-23,"The artist painted a beautiful landscape on the canvas, capturing nature''s essence."
1-24,The car emitted a loud beep as a warning signal when it was put into reverse.
1-25,The company''s new product went through extensive development before its launch.
1-26,"Despite her best efforts, she experienced a failure in completing the project on time."
1-27,I would appreciate it if you could do me a favor and pick up some groceries.
1-28,He is the power forward in the team.
1-29,The team''s continuous improvement led to significant achievements in their performance.
1-30,"Her new job provided a higher income, allowing her to fulfill her dreams."
1-31,He is a senior official in the bank. 
1-32,"The owl silently glided through the night, its wings barely making a sound."
1-33,My next period is Spanish. 
1-34,"The pumpkin pie was the highlight of the Thanksgiving dinner, delighting everyone."
1-35,The result of his hard work is a well-deserved promotion and recognition.
1-36,"The first semester of college was challenging but rewarding, pushing her to learn and grow."
1-37,"The snail moved slowly across the garden, leaving a glistening trail behind."
1-38,The trumpet player showcased their talent with a powerful and melodious performance.
1-39,He held an umbrella over his head to shield himself from the pouring rain.
1-40,The small village nestled in the countryside had a quaint charm and friendly residents.
1-41,"She tightened her belt around her waist, adjusting her pants for a better fit."
2-1,We were all struck dumb with shock. 
2-2,I felt homesick while being away from my family and longing for the comfort of home.
2-3,The box was tightly sealed to contain the contents and prevent any spills.
2-4,They decided to divide the tasks equally among the team members for better efficiency.
2-5,He worked hard to earn a promotion and recognition for his dedication.
2-6,"The lightning flashed across the dark sky, illuminating the surroundings for a brief moment."
2-7,I prefer watching movies over going to parties on the weekends.
2-8,The officer stamped the date on the passport. 
2-9,She had to struggle with the difficult math problem until she finally solved it.
2-10,“Sit still!“ the teacher thundered. 
2-11,He held firm to his principles. 
2-12,"We walked through the park, enjoying the beauty of nature and the fresh air."
2-13,She rented a small apartment in the city to be closer to her workplace.
2-14,The story was in yesterday''s Daily Mail. 
2-15,The following is a summary of the research findings. 
2-16,She held the candle in a candle holder to prevent it from tipping over.
2-17,"The jazz band played lively and soulful music, filling the room with rhythm and melody."
2-18,"She enjoyed a ripe and juicy papaya for breakfast, savoring its tropical flavor."
2-19,He answered the phone and spoke to the caller about the upcoming meeting.
2-20,The reporter interviewed the mayor for the local news article.
2-21,"She sipped her drink through a straw, enjoying the cool beverage on a hot day."
2-22,They captured the memorable moments of their vacation on video to cherish the memories.
3-1,The generous donor contributed a substantial amount to the cause.
3-2,The sunset painted a lovely palette of colors across the sky.
3-3,The old painting had an ugly stain in the corner.
3-4,I bought a used car from a local dealership.
3-5,She decided to bottle the homemade sauce for later use.
3-6,The riddle he presented puzzled the participants at the puzzle-solving event.
3-7,She helped me sort through my closet and organize my clothes.
3-8,He wrote his name backward on the foggy mirror.
3-9,I prefer a room with furniture but I can do without. 
3-10,She enjoyed her burger meal.
3-11,The scented candle filled the room with a warm and inviting aroma.
3-12,The soft carpet felt luxurious under my feet.
3-13,I found an old cassette in a dusty box in the attic.
3-14,The castle stood tall and majestic on the hilltop.
3-15,"After much deliberation, she made a difficult decision."
3-16,We watched in awe as the dolphin gracefully leaped out of the water.
3-17,The garden is full of the hum of bees.
3-18,The suspect is a white male aged about 30. 
3-19,We spent the afternoon exploring the exhibits in the museum.
3-20,The shiny object caught my attention as it glittered in the sunlight.
3-21,I made a delicious sandwich with fresh ingredients for lunch.
3-22,The children laughed and giggled as they took turns on the swing.
3-23,The curious visitor marveled at the intricate artwork in the gallery.
4-1,"The page remained blank, waiting to be filled with words."
4-2,Taking deep breaths helped her stay calm during the exam.
4-3,It was cruel of him to ignore her feelings and break her heart.
4-4,She worked out regularly to stay fit and maintain her health.
4-5,Please answer the following questions. 
4-6,Eating a balanced diet is crucial for maintaining a healthy body.
4-7,"The watermelon was juicy and delicious, bursting with flavor."
4-8,He is like a lone star in the sky. 
4-9,"She was a social butterfly, always surrounded by friends and acquaintances."
4-10,"After the intense workout, they were all feeling thirsty and reached for their water bottles."
4-11,The cabin in the woods had a charming wooden exterior.
4-12,The car accident happened where the road branched. 
4-13,Be careful not to drop the vase. 
4-14,They gathered around the bonfire to enjoy the warmth and each other''s company.
4-15,Can you lend me some money until I get my paycheck?
4-16,He followed a strict routine to maintain his physical fitness.
4-17,She decided to mix different ingredients to create a unique and flavorful dish.
4-18,He fell over and blood streamed down his face. 
4-19,They loved to travel and explore new cultures and destinations.
4-20,I bought this dress cheap from an internet auction site. 
4-21,"Upon arriving at the airport, they were greeted by a warm breeze."
4-22,"Despite the skepticism, her belief in herself never wavered."
4-23,His new novel is considered a modern classic. 
4-24,She organized her clothes neatly in the wardrobe.
4-25,She reached out to him through email to stay in contact.
4-26,They managed to overcome the crisis with effective problem-solving.
4-27,I''ve got myself in a fix about incomes. 
4-28,The football match attracted a large crowd of enthusiastic fans.
4-29,Dark masses of clouds gathered in the sky. 
4-30,The doctor prescribed medicine to alleviate her symptoms.
4-31,"She admired herself in the mirror, satisfied with her appearance."
4-32,He asked her pardon for having cheated on her. 
4-33,Transform your weaknesses into positives. 
4-34,"As one of our regulars, he can get discounts. "
4-35,The train is picking up speed. 
4-36,She added fresh spinach leaves to her salad for an extra dose of nutrients.
5-1,The former employee returned to visit their old colleagues.
5-2,He prepared an instant cup of coffee using the coffee machine.
5-3,"In recent times, there has been an increase in online shopping."
5-4,The royal couple arrived at the charity gala in a luxurious carriage.
5-5,The children enjoyed playing in the snowy park during winter.
5-6,The southern region of the country is known for its warm climate.
5-7,They found how to cure the rare disease after years of research.
5-8,The company decided to hire a new marketing manager.
5-9,"The vacation package includes flights, accommodation, and meals."
5-10,Please lock the door before leaving the house.
5-11,They decided to separate their personal and professional lives.
5-12,"He tried to read the book backwards, starting from the last page."
5-13,"I don''t really want to go. Besides, it''s too late now. "
5-14,She has the ability to solve complex mathematical problems.
5-15,The bookcase in the living room is filled with novels and textbooks.
5-16,They went to the beach and collected seashells and crabs.
5-17,She expressed her emotion through a heartfelt poem.
5-18,"She used flour, sugar, and butter to bake a delicious cake."
5-19,He used a hammer to fix the loose nail in the wooden table.
5-20,They carried a lantern to light their way in the dark forest.
5-21,The length of the marathon is 26.2 miles.
5-22,He felt like a loser after losing the game.
5-23,They developed a new method to increase productivity.
5-24,She received a beautiful necklace as a birthday gift.
5-25,He chopped an onion to add to the soup.
5-26,The two nations signed a peace treaty to end the conflict.
5-27,The population of the city has been steadily growing.
5-28,A squirrel climbed up the tree and hid its acorns.
5-29,The archer aimed at the target and released the arrow.
5-30,They had a lively discussion on the topic of climate change.
5-31,She bought a treat for her dog at the pet store.
5-32,They roasted a turkey for Thanksgiving dinner.
5-33,Monday is the first weekday of the week.
6-1,"He wandered through the deserted streets, feeling lonely and isolated."
6-2,Her bank account showed a balance of minus $50.
6-3,He received negative feedback on his performance evaluation.
6-4,The popular singer attracted a large crowd at the concert.
6-5,The thick fog made it difficult to see the road ahead.
6-6,She held up her umbrella to protect herself from the rain.
6-7,We won the competition fair and square.
6-8,He aimed the arrow at the bullseye and released it.
6-9,"A dragonfly gracefully glided through the air, its wings shimmering."
6-10,It''s our duty to take care of the environment and reduce waste.
6-11,Solar panels harness the energy of the sun to generate electricity.
6-12,He played a beautiful melody on the musical instrument.
6-13,She went for a jog in the park to stay fit and active.
6-14,"A pigeon perched on the ledge, observing the bustling city below."
6-15,She treated others with kindness and earned their respect.
6-16,He quickly squashed the roach crawling on the floor.
6-17,"Books lined the shelf, neatly arranged by genre."
6-18,"Somebody knocked on the door, interrupting their conversation."
6-19,She used soy sauce to season the stir-fry.
6-20,The loud clap of thunder startled everyone in the room.
7-1,The active child ran around the playground with boundless energy.
7-2,The hiker felt alive as she breathed in the fresh mountain air.
7-3,The female CEO successfully led the company to record-breaking profits.
7-4,"On the plus side, he shows respect to everyone, although he is not good at studying. "
7-5,The library was silent except for the sound of turning pages.
7-6,She decided to clothe herself in a stunning black dress for the party.
7-7,"Low birth rates, coupled with ageing, lead to a shortage of workforce. "
7-8,Hundreds of students crowded in the auditorium to watch the performance. 
7-9,This program can model the process of air pollution. 
7-10,He was fined for speeding. 
7-11,The monkey swung from one tree to another. 
7-12,The airline announced a new route to a popular tourist destination.
7-13,The designer came up with a new design for the dress. 
7-14,She bought some toiletries from the drugstore on her way home.
7-15,The flag proudly waved in the wind atop the flagpole.
7-16,The heavy rain caused a flood in the low-lying areas.
7-17,I''ll be back in an instant. 
7-18,She spread jam on her toast for breakfast.
7-19,The park was full of young lovers holding hands.
7-20,The participants gathered for the meeting in the conference room.
7-21,He became a member of the exclusive country club.
7-22,She received a heartfelt message from her best friend.
7-23,The DJ played a mix of popular songs at the party.
7-24,A small moth fluttered around the porch light.
7-25,The slow motion replay showed the athlete''s incredible skill.
7-26,The doctor attended to the patient''s needs with care.
7-27,He smoked a pipe while relaxing in his armchair.
7-28,They ordered a large pizza with extra toppings for dinner.
7-29,The yoga instructor guided the class through a challenging pose.
7-30,He did his share in the event. 
7-31,They embarked on a guided tour of the historic city.
7-32,They enjoyed a relaxing vacation by the beach.
7-33,The juicy watermelon was the perfect refreshing snack for a hot summer day.
8-1,The cozy armchair was incredibly comfortable to sit in.
8-2,"She had a firm grip on the handle, refusing to let go."
8-3,"Despite his success, he remained humble and down-to-earth."
8-4,We can grab a cup of coffee in the nearby cafe. 
8-5,We decided to barbecue some burgers and sausages for dinner.
8-6,Please bill me for the computer.
8-7,"Practice makes perfect, so don''t be afraid to repeat the task."
8-8,"Despite the challenges, he managed to survive and overcome adversity."
8-9,She decided to pursue her dreams and move overseas for new opportunities.
8-10,"As an assistant, he helps with various tasks and supports the team."
